,p1,p2,p3,p4,p5,pall,geometry
Praha,,13.0,27.0,18.0,5.0,63,POINT (14.41 50.09)
Wien,3.0,15.0,8.0,9.0,,35,POINT (16.388 48.221)
Brno,,4.0,4.0,10.0,3.0,21,POINT (16.61 49.19)
Krems an der Donau,5.0,8.0,,2.0,,15,POINT (15.62 48.41)
Písek,,2.0,6.0,1.0,,9,POINT (14.148 49.309)
Znojmo,,2.0,4.0,3.0,,9,POINT (16.05 48.86)
Linz,2.0,3.0,2.0,,,7,POINT (14.286 48.306)
Poděbrady,,,2.0,3.0,1.0,6,POINT (15.119 50.142)
Wiener Neustadt,2.0,1.0,2.0,,,5,POINT (16.24 47.81)
Křivoklát,,3.0,1.0,1.0,,5,POINT (13.872 50.038)
Jihlava,,,4.0,1.0,,5,POINT (15.591 49.396)
Olomouc,,2.0,2.0,,1.0,5,POINT (17.252 49.596)
Graz,,,4.0,1.0,,5,POINT (15.45 47.067)
Laa an der Thaya,,1.0,1.0,2.0,,4,POINT (16.384 48.728)
Litoměřice,,,3.0,,1.0,4,POINT (14.132 50.533)
Opava,,2.0,,,2.0,4,POINT (17.903 49.939)
Freistadt,,,1.0,2.0,,3,POINT (14.517 48.517)
Budyně nad Ohří,,,2.0,1.0,,3,POINT (14.126 50.404)
Lilienfeld,,1.0,1.0,1.0,,3,POINT (15.598 48.014)
Zbraslav,,,,3.0,,3,POINT (14.394 49.976)
Hradec Králové,,1.0,1.0,,1.0,3,POINT (15.833 50.209)
Sadská,,2.0,1.0,1.0,,3,POINT (14.985 50.134)
Głubczyce,,,2.0,,,2,POINT (17.829 50.201)
Hradec nad Moravicí,,,,,2.0,2,POINT (17.875 49.871)
Korneuburg,1.0,,,1.0,,2,POINT (16.33 48.34)
Havlíčkův Brod,,,2.0,,,2,POINT (15.579 49.607)
Hainburg,1.0,,,1.0,,2,POINT (16.946 48.146)
Velehrad,,,2.0,,,2,POINT (17.395 49.105)
Wels,,2.0,,,,2,POINT (14.027 48.158)
Enns,1.0,1.0,,,,2,POINT (14.479 48.214)
Bratislava,,1.0,1.0,,,2,POINT (17.103 48.142)
Plasy,,1.0,1.0,,,2,POINT (13.39 49.934)
Zvíkov,,1.0,,1.0,,2,POINT (14.192 49.439)
Zwettl,,1.0,,1.0,,2,POINT (15.169 48.607)
Kamýk nad Vltavou,,,,2.0,,2,POINT (14.253 49.639)
Neuburg am Inn,,,,1.0,,1,POINT (13.405 48.518)
Myšenec,,,,1.0,,1,POINT (14.208 49.223)
Hartberg,,,,1.0,,1,POINT (15.97 47.281)
Marchegg,,,,1.0,,1,POINT (16.891 48.257)
Veveří,,,,1.0,,1,POINT (16.462 49.257)
Přištpo,,,,1.0,,1,POINT (15.935 49.074)
Milevsko,,,,1.0,,1,POINT (14.361 49.45)
Drosendorf,,,,1.0,,1,POINT (15.622 48.866)
Uherský Ostroh,,,,1.0,,1,POINT (17.39 48.986)
Slovenj Gradec,,,,1.0,,1,POINT (15.079 46.516)
Maribor,,,,1.0,,1,POINT (15.648 46.554)
Völkermarkt,,,,1.0,,1,POINT (14.633 46.662)
Mailberg,,,,1.0,,1,POINT (16.183 48.673)
Kostanjevica na Krki,,,,1.0,,1,POINT (15.42 45.846)
Jindřichův Hradec,,,,,1.0,1,POINT (15.003 49.144)
Judenburg,,,,1.0,,1,POINT (14.667 47.167)
Friesach,,,,1.0,,1,POINT (14.326 46.984)
Villach,,,,1.0,,1,POINT (13.856 46.61)
Kravaře u České Lípy,,,1.0,,,1,POINT (14.392 50.632)
Ljubljana,,,,1.0,,1,POINT (14.507 46.05)
Stična,,,,1.0,,1,POINT (14.806 45.957)
Arnoldstein,,,,1.0,,1,POINT (13.75 46.55)
Vyškov,,,1.0,,,1,POINT (17 49.28)
Most,,,1.0,,,1,POINT (13.636 50.503)
Žatec,,,1.0,,,1,POINT (13.54 50.33)
Kleinweikersdorf,1.0,,,,,1,POINT (16.198 48.631)
Loket,,1.0,,,,1,POINT (12.754 50.187)
Gaming,,1.0,,,,1,POINT (15.088 47.929)
Sitzenberg,,1.0,,,,1,POINT (15.809 48.321)
Dobříš,,1.0,,,,1,POINT (14.175 49.783)
Uherské Hradiště,,1.0,,,,1,POINT (17.46 49.07)
Seitenstetten,,1.0,,,,1,POINT (14.655 48.036)
Kladruby,,1.0,,,,1,POINT (12.995 49.712)
Jablonné v Podještědí,,1.0,,,,1,POINT (14.76 50.765)
Groißenbrunn,,1.0,1.0,,,1,POINT (16.902 48.223)
Cheb,,,1.0,,,1,POINT (12.38 50.071)
Vracov,,,1.0,,,1,POINT (17.209 48.977)
Jaroměřice nad Rokytkou,,,1.0,,,1,POINT (15.893 49.094)
Traiskirchen,,,1.0,,,1,POINT (16.295 48.014)
Domažlice,,,1.0,,,1,POINT (12.93 49.44)
Stříbro,,,1.0,,,1,POINT (13.003 49.752)
Pottendorf,,,1.0,,,1,POINT (16.388 47.91)
Eggenburg,,,1.0,,,1,POINT (15.819 48.639)
Nižbor,,,1.0,,,1,POINT (14.003 50.002)
České Budějovice,,,1.0,,,1,POINT (14.474 48.974)
Beroun,,,1.0,,,1,POINT (14.073 49.964)
Čáslav,,,1.0,,,1,POINT (15.389 49.91)
Herzogenbirbaum,,,1.0,,,1,POINT (16.251 48.519)
Uničov,,,,,1.0,1,POINT (17.121 49.771)
