,id,name,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry
14,14.0,Arnoldstein,2.0,1.0,1.0,0.0,0.0,46.55,13.75,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (13.75 46.55)
22,21.0,Balga,2.0,1.0,1.0,0.0,0.0,54.557,19.998,1.0,gemeinde,,Ausland,Preussen (Ausland),Preussen (Ausland),Pre,Preussen (Ausland),POINT (19.998 54.557)
31,30.0,Beroun,4.0,2.0,2.0,0.0,0.0,49.964,14.073,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.073 49.964)
42,41.0,Bratislava,25.0,10.0,10.0,5.0,0.0,48.142,17.103,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.103 48.142)
45,44.0,Brno,103.0,42.0,47.0,10.0,4.0,49.19,16.61,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.61 49.19)
52,51.0,Budyně nad Ohří,8.0,4.0,4.0,0.0,0.0,50.404,14.126,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.126 50.404)
53,52.0,Čáslav,5.0,1.0,1.0,2.0,1.0,49.91,15.389,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (15.389 49.91)
57,56.0,Červený Kameň,3.0,1.0,1.0,1.0,0.0,48.392,17.335,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.335 48.392)
58,57.0,České Budějovice,5.0,1.0,1.0,2.0,1.0,48.974,14.474,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.474 48.974)
62,61.0,Cham,4.0,2.0,2.0,0.0,0.0,49.218,12.666,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.666 49.218)
63,62.0,Cheb,6.0,2.0,2.0,2.0,0.0,50.071,12.38,1.0,gemeinde,,Böhmen,Egerland,Egerland,Eg,Egerland,POINT (12.38 50.071)
64,63.0,Chełmno,6.0,3.0,3.0,0.0,0.0,53.348,18.424,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (18.424 53.348)
77,76.0,Dobříš,2.0,1.0,1.0,0.0,0.0,49.783,14.175,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.175 49.783)
83,82.0,Domažlice,6.0,2.0,2.0,1.0,1.0,49.44,12.93,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.93 49.44)
90,89.0,Drosendorf,5.0,2.0,2.0,0.0,1.0,48.866,15.622,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.622 48.866)
96,95.0,Eggenburg,4.0,1.0,1.0,1.0,1.0,48.639,15.819,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.819 48.639)
102,101.0,Elbląg,4.0,2.0,2.0,0.0,0.0,54.152,19.409,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (19.409 54.152)
104,103.0,Enns,9.0,2.0,2.0,2.0,3.0,48.214,14.479,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.479 48.214)
113,112.0,Freistadt,18.0,9.0,9.0,0.0,0.0,48.517,14.517,3.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.517 48.517)
114,113.0,Friesach,11.0,4.0,4.0,2.0,1.0,46.984,14.326,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (14.326 46.984)
119,118.0,Gaming,4.0,2.0,2.0,0.0,0.0,47.929,15.088,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.088 47.929)
127,126.0,Głubczyce,9.0,2.0,2.0,4.0,1.0,50.201,17.829,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.829 50.201)
135,134.0,Graz,82.0,39.0,40.0,2.0,1.0,47.067,15.45,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.45 47.067)
137,136.0,Groißenbrunn,2.0,1.0,1.0,0.0,0.0,48.223,16.902,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.902 48.223)
144,143.0,Gwardeisk,2.0,1.0,1.0,0.0,0.0,54.648,21.065,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (21.065 54.648)
145,144.0,Györ,3.0,1.0,1.0,1.0,0.0,47.688,17.635,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.635 47.688)
147,146.0,Hainburg,11.0,5.0,5.0,0.0,1.0,48.146,16.946,3.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.946 48.146)
151,150.0,Hartberg,2.0,1.0,1.0,0.0,0.0,47.281,15.97,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.97 47.281)
154,153.0,Havlíčkův Brod,9.0,3.0,3.0,2.0,1.0,49.607,15.579,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.579 49.607)
160,159.0,Herzogenbirbaum,2.0,1.0,1.0,0.0,0.0,48.519,16.251,2.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.251 48.519)
172,171.0,Hradec Králové,9.0,4.0,4.0,1.0,0.0,50.209,15.833,1.0,gemeinde,,Böhmen,Böhmen,Nordostböhmen,NOB,Nordostböhmen,POINT (15.833 50.209)
173,172.0,Hradec nad Moravicí,6.0,3.0,3.0,0.0,0.0,49.871,17.875,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.875 49.871)
182,181.0,Jablonné v Podještědí,2.0,1.0,1.0,0.0,0.0,50.765,14.76,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.76 50.765)
184,183.0,Jaroměřice nad Rokytkou,5.0,2.0,2.0,1.0,0.0,49.094,15.893,1.0,gemeinde,Jaromerice nad Rokytnou?,Mähren,Mähren,Znaimer Teil,ZT,Znaimer Teil,POINT (15.893 49.094)
185,184.0,Jedenspeigen,4.0,2.0,2.0,0.0,0.0,48.499,16.872,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.872 48.499)
189,188.0,Jihlava,17.0,7.0,6.0,4.0,0.0,49.396,15.591,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.591 49.396)
190,189.0,Jindřichův Hradec,3.0,1.0,1.0,1.0,0.0,49.144,15.003,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (15.003 49.144)
191,190.0,Judenburg,17.0,6.0,6.0,5.0,0.0,47.167,14.667,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.667 47.167)
194,193.0,Kahlenberg (heute Leopoldberg),1.0,1.0,0.0,0.0,0.0,48.278,16.346,1.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.346 48.278)
195,194.0,Kaliningrad,2.0,1.0,1.0,0.0,0.0,54.706,20.511,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.511 54.706)
196,195.0,Kalisz,2.0,1.0,1.0,0.0,0.0,51.762,18.09,1.0,gemeinde,,Ausland,Pollen,Pollen,Po,Pollen,POINT (18.09 51.762)
198,198.0,Kamýk nad Vltavou,8.0,4.0,4.0,0.0,0.0,49.639,14.253,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.253 49.639)
204,205.0,Kladruby,6.0,2.0,2.0,2.0,0.0,49.712,12.995,3.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.995 49.712)
207,208.0,Kleinweikersdorf,3.0,1.0,1.0,0.0,1.0,48.631,16.198,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.198 48.631)
216,217.0,Korneuburg,8.0,7.0,0.0,1.0,0.0,48.34,16.33,1.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.33 48.34)
217,218.0,Kostanjevica na Krki,9.0,2.0,2.0,4.0,1.0,45.846,15.42,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (15.42 45.846)
227,228.0,Kravaře u České Lípy,3.0,1.0,1.0,1.0,0.0,50.632,14.392,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.392 50.632)
228,229.0,Krems an der Donau,73.0,30.0,30.0,6.0,7.0,48.41,15.62,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.62 48.41)
230,231.0,Křivoklát,14.0,7.0,7.0,0.0,0.0,50.038,13.872,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (13.872 50.038)
238,239.0,Laa an der Thaya,24.0,11.0,11.0,2.0,0.0,48.728,16.384,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.384 48.728)
242,243.0,Laufen,2.0,1.0,1.0,0.0,0.0,47.935,12.931,1.0,gemeinde,,Ausland,Salzburg,Salzburg,Sa,Salzburg,POINT (12.931 47.935)
249,250.0,Leoben,5.0,2.0,2.0,1.0,0.0,47.379,15.095,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (15.095 47.379)
257,258.0,Lilienfeld,22.0,4.0,4.0,14.0,0.0,48.014,15.598,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.598 48.014)
258,259.0,Linz,49.0,19.0,19.0,4.0,7.0,48.306,14.286,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.286 48.306)
259,260.0,Litoměřice,14.0,4.0,4.0,6.0,0.0,50.533,14.132,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.132 50.533)
